Nom_metier,categories,secteur,terme_generique
agent de police,"fonctionnaire, ordre",tertiaire,agent de police
agriculteur,agriculture,primaire,agriculteur
aide,manoeuvre,tertiaire,manoeuvre
apprenti,apprenti,NSP,apprenti
apprenti negociant,"commerce, apprenti, négoce",tertiaire,negociant
apprentie,apprenti,NA,apprenti
apprentie couturiere,"habillement, textile, apprenti",secondaire,couturiere
apprentie modiste,"habillement, apprenti",secondaire,modiste
apprentie tailleuse,"habillement, apprenti",secondaire,tailleur
architecte,"bâtiment, ingénierie",tertiaire,architecte
armurier,"métallurgie, habillement, ordre",secondaire,armurier
arpenteur,"fonctionnaire, mesure",tertiaire,arpenteur
aubergiste,"hotellerie, restauration",tertiaire,aubergiste
avocat,"justice, droit",tertiaire,avocat
banquier,finance,tertiaire,banquier
batelier,"véhicule, transport, lac",secondaire,batelier
bijoutier,"orfèvrerie, esthétique",secondaire,bijoutier
blanchisseuse,"habillement, entretien, nettoyage",tertiaire,blanchisseuse
bonne,domesticité,tertiaire,bonne
bottier,"habillement, chaussures",secondaire,bottier
boucher,"alimentation, viande",secondaire,boucher
boulanger,"alimentation, pain",secondaire,boulanger
bucheron,bois,primaire,bucheron
cafetier,restauration,tertiaire,cafetier
carrier,"manoeuvre, bâtiment",secondaire,carrier
caveur,"manoeuvre, vin",tertiaire,caveur
ceinturier,"habillement, cuir",secondaire,ceinturier
chamoiseur,cuir,secondaire,chamoiseur
chapelier,"habillement, chapeau",secondaire,chapelier
chapellier,"habillement, chapeau",secondaire,chapelier
charcutier,"alimentation, viande",secondaire,charcutier
charpentier,"bâtiment, bois",secondaire,charpentier
charrelier,"véhicule, agriculture",secondaire,charretier
charretier,"véhicule, transport",secondaire,charretier
charron,véhicule,secondaire,charron
chaudronnier,métallurgie,secondaire,chaudronnier
chauffeur,"véhicule, transport",tertiaire,chauffeur
chirurgien,"santé, médecine",tertiaire,chirurgien
cimenteur,"bâtiment, ciment",secondaire,cimenteur
clerc,droit,tertiaire,clerc
cocher,"véhicule, transport",tertiaire,cocher
coiffeur,esthétique,tertiaire,coiffeur
commis,manoeuvre,secondaire,commis
commissionnaire,commerce,tertiaire,commissionnaire
compagne,"famille, NA",NA,compagne
compositeur,"artiste, musique",tertiaire,compositeur
comptable,finance,tertiaire,comptable
concierge,"entretien, nettoyage",tertiaire,concierge
conducteur,"véhicule, transport",tertiaire,conducteur
confiseur,alimentation,secondaire,confiseur
conseiller,indéterminé,tertiaire,conseiller
,,,
cordonnier ,"habillement, cuir, chaussures",secondaire,cordonnier
,,,
corroyeur,cuir,secondaire,corroyeur
courtier,finance,tertiaire,courtier
couturiere,"habillement, textile",secondaire,couturiere
couvreur,bâtiment,secondaire,couvreur
