,profession,annee,occ
0,agent,1845,1
1,agent,1848,1
2,agent,1858,12
3,agent,1859,1
4,agent,1863,1
5,agent,1865,1
6,agent,1868,1
7,agent,1875,1
8,agent,1880,1
9,agent,1883,1
10,agent,1889,1
11,agent,1890,1
12,agent,1892,6
13,agent,1894,1
14,agent,1896,1
15,agent de police,1859,6
16,agent de police,1860,11
17,agent de police,1861,6
18,agent de police,1862,8
19,agent de police,1863,9
20,agent de police,1864,8
21,agent de police,1865,6
22,agent de police,1866,11
23,agent de police,1867,12
24,agent de police,1868,10
25,agent de police,1869,14
26,agent de police,1870,15
27,agent de police,1871,11
28,agent de police,1872,24
29,agent de police,1873,13
30,agent de police,1874,19
31,agent de police,1875,3
32,agent de police,1876,12
33,agent de police,1877,17
34,agent de police,1878,12
35,agent de police,1879,16
36,agent de police,1880,8
37,agent de police,1881,10
38,agent de police,1882,17
39,agent de police,1883,10
40,agent de police,1884,14
41,agent de police,1885,13
42,agent de police,1886,7
43,agent de police,1887,10
44,agent de police,1888,11
45,agent de police,1889,8
46,agent de police,1890,15
47,agent de police,1891,8
48,agent de police,1892,12
49,agent de police,1893,10
50,agent de police,1894,10
51,agent de police,1895,11
52,agent de police,1896,15
53,agent de police,1897,6
54,agent de police,1898,14
55,agriculteur,1835,22
56,agriculteur,1836,64
57,agriculteur,1837,56
58,agriculteur,1838,49
59,agriculteur,1839,68
60,agriculteur,1840,62
61,agriculteur,1841,65
62,agriculteur,1842,97
63,agriculteur,1843,81
64,agriculteur,1844,71
65,agriculteur,1845,69
66,agriculteur,1846,60
67,agriculteur,1847,74
68,agriculteur,1848,122
69,agriculteur,1849,185
70,agriculteur,1850,110
71,agriculteur,1851,124
72,agriculteur,1852,105
73,agriculteur,1853,97
74,agriculteur,1854,109
75,agriculteur,1855,73
76,agriculteur,1856,126
77,agriculteur,1857,153
78,agriculteur,1858,143
79,agriculteur,1859,158
80,agriculteur,1860,204
81,agriculteur,1861,140
82,agriculteur,1862,138
83,agriculteur,1863,147
84,agriculteur,1864,143
85,agriculteur,1865,151
86,agriculteur,1866,161
87,agriculteur,1867,139
88,agriculteur,1868,218
89,agriculteur,1869,182
90,agriculteur,1870,178
91,agriculteur,1871,157
92,agriculteur,1872,180
